comm_id,supplier_id,comm_date,channel,subject,priority,response_time_hours,resolved
CM000341,SUP005,2024-09-02,Email,Compliance Audit Follow-up,Normal,3.6,Yes
CM000342,SUP012,2025-07-14,Call,Capacity Planning,High,14.8,Yes
CM000343,SUP030,2024-01-02,Call,SLA Review Meeting,Normal,33.1,Yes
CM000344,SUP001,2025-07-14,Meeting,Urgent Stock Request,Low,3.9,Yes
CM000345,SUP018,2025-10-05,Email,Urgent Stock Request,Normal,26.8,Yes
CM000346,SUP027,2023-09-23,Call,SLA Review Meeting,Critical,20.1,Yes
CM000347,SUP017,2023-01-02,Email,Payment Terms Discussion,High,36.3,Yes
CM000348,SUP022,2025-01-08,Email,Compliance Audit Follow-up,Normal,11.8,Yes
CM000349,SUP004,2023-12-10,Call,Capacity Planning,High,,No
CM000350,SUP009,2024-05-29,Call,SLA Review Meeting,Normal,20.1,Yes
CM000351,SUP010,2024-01-16,Call,Payment Terms Discussion,Critical,26.7,Yes
CM000352,SUP026,2025-03-12,Email,Contract Renewal Discussion,Normal,,No
CM000353,SUP019,2023-07-31,Email,Quality Concern,High,,No
CM000354,SUP006,2025-12-27,Meeting,Feedback on Last Shipment,Normal,,No
CM000355,SUP011,2025-03-07,Call,New Order Requirements,Critical,22.1,Yes
CM000356,SUP020,2025-01-27,Portal,Material Specification Change,Low,8.3,Yes
CM000357,SUP021,2025-09-29,Portal,Emergency Supply Request,Normal,86.3,Yes
CM000358,SUP027,2024-06-19,Email,Payment Terms Discussion,Normal,,No
CM000359,SUP029,2025-11-15,Email,Emergency Supply Request,Low,10.7,Yes
CM000360,SUP017,2024-11-14,Email,Delivery Status Update,Low,9.8,Yes
CM000361,SUP010,2025-07-18,Email,Emergency Supply Request,Normal,17.0,Yes
CM000362,SUP029,2024-03-15,Call,Emergency Supply Request,Critical,28.0,Yes
CM000363,SUP011,2023-04-04,Call,Emergency Supply Request,Low,,No
CM000364,SUP026,2023-08-12,Meeting,Quality Concern,Low,20.8,Yes
CM000365,SUP004,2025-12-08,Email,Compliance Audit Follow-up,High,3.6,Yes
CM000366,SUP008,2025-11-19,Portal,Invoice Discrepancy,Normal,,No
CM000367,SUP030,2024-11-08,Portal,Capacity Planning,Normal,18.3,Yes
CM000368,SUP017,2025-04-30,Email,SLA Review Meeting,Normal,,No
CM000369,SUP005,2025-10-06,Call,Compliance Audit Follow-up,High,29.9,Yes
CM000370,SUP014,2025-01-14,Email,Compliance Audit Follow-up,High,77.3,Yes
CM000371,SUP004,2023-06-19,Email,Invoice Discrepancy,Low,,No
CM000372,SUP001,2023-03-22,Meeting,Invoice Discrepancy,Normal,2.1,Yes
CM000373,SUP008,2023-09-26,Meeting,Emergency Supply Request,Low,10.0,Yes
CM000374,SUP011,2024-11-27,Call,Payment Terms Discussion,Normal,5.9,Yes
CM000375,SUP010,2024-08-05,Portal,Material Specification Change,Normal,21.8,Yes
CM000376,SUP005,2025-10-20,Call,Feedback on Last Shipment,Normal,23.0,Yes
CM000377,SUP010,2025-04-26,Email,Delivery Status Update,Low,28.6,Yes
CM000378,SUP030,2025-01-25,Portal,Quality Concern,Normal,9.9,Yes
CM000379,SUP027,2023-08-05,Email,Quality Concern,Low,36.8,Yes
CM000380,SUP021,2024-09-16,Email,Compliance Audit Follow-up,Low,,No
CM000381,SUP023,2026-02-06,Email,Price Renegotiation,High,31.0,Yes
CM000382,SUP006,2024-01-06,Call,Invoice Discrepancy,Normal,,No
CM000383,SUP018,2024-06-28,Email,Emergency Supply Request,Normal,5.1,Yes
CM000384,SUP027,2025-07-17,Call,Contract Renewal Discussion,High,14.7,Yes
CM000385,SUP015,2023-09-05,Email,SLA Review Meeting,High,35.9,Yes
CM000386,SUP030,2026-03-02,Portal,Emergency Supply Request,Critical,10.3,Yes
CM000387,SUP019,2024-03-14,Portal,Quality Concern,High,27.2,Yes
CM000388,SUP021,2024-09-12,Call,Contract Renewal Discussion,High,131.0,Yes
CM000389,SUP028,2026-01-11,Call,Shipment Delay Notification,Normal,26.2,Yes
CM000390,SUP024,2025-10-06,Meeting,Shipment Delay Notification,Normal,20.0,Yes
CM000391,SUP019,2025-10-17,Meeting,Price Renegotiation,High,33.7,Yes
CM000392,SUP001,2024-01-18,Email,Price Renegotiation,Low,3.6,Yes
CM000393,SUP017,2025-10-16,Email,Compliance Audit Follow-up,High,23.9,Yes
CM000394,SUP030,2025-11-28,Email,Capacity Planning,High,,No
CM000395,SUP005,2025-01-16,Meeting,Emergency Supply Request,Low,2.8,Yes
CM000396,SUP025,2026-02-09,Meeting,Payment Terms Discussion,High,21.6,Yes
CM000397,SUP012,2024-03-07,Meeting,Feedback on Last Shipment,Normal,11.3,Yes
CM000398,SUP013,2023-05-05,Portal,Capacity Planning,Critical,8.1,Yes
CM000399,SUP010,2024-04-28,Portal,Payment Terms Discussion,Low,17.0,Yes
CM000400,SUP015,2023-05-17,Portal,Contract Renewal Discussion,High,20.0,Yes
CM000401,SUP025,2023-11-02,Email,Feedback on Last Shipment,High,7.9,Yes
CM000402,SUP010,2024-02-12,Call,Payment Terms Discussion,High,11.8,Yes
CM000403,SUP030,2023-01-11,Portal,Quality Concern,Normal,10.2,Yes
CM000404,SUP005,2025-03-25,Email,Price Renegotiation,Low,45.2,Yes
CM000405,SUP015,2025-04-19,Call,Delivery Status Update,Low,15.7,Yes
CM000406,SUP013,2025-04-04,Portal,Delivery Status Update,Low,22.4,Yes
CM000407,SUP022,2025-12-19,Portal,Contract Renewal Discussion,Critical,8.6,Yes
CM000408,SUP007,2025-06-02,Email,Delivery Status Update,High,149.6,Yes
CM000409,SUP004,2023-11-03,Email,Quality Concern,Low,19.6,Yes
CM000410,SUP017,2023-10-15,Portal,Urgent Stock Request,High,,No
CM000411,SUP005,2024-08-10,Email,Emergency Supply Request,Normal,23.1,Yes
CM000412,SUP024,2025-02-18,Email,Compliance Audit Follow-up,High,41.1,Yes
CM000413,SUP019,2024-12-08,Call,SLA Review Meeting,High,10.8,Yes
CM000414,SUP005,2024-07-18,Portal,Material Specification Change,Normal,19.7,Yes
CM000415,SUP007,2023-02-25,Email,Compliance Audit Follow-up,High,170.9,Yes
CM000416,SUP012,2023-11-28,Call,Shipment Delay Notification,Low,7.3,Yes
CM000417,SUP003,2025-06-02,Call,New Order Requirements,Normal,2.1,Yes
CM000418,SUP029,2023-08-08,Email,Emergency Supply Request,Normal,,No
CM000419,SUP021,2023-01-16,Meeting,Shipment Delay Notification,Low,62.8,Yes
CM000420,SUP016,2026-03-01,Call,Invoice Discrepancy,Normal,20.8,Yes
